iter	Passed	Remaining
406	6198	9031
407	6213	9015
408	6227	8999
409	6242	8983
410	6257	8967
411	6272	8951
412	6287	8936
413	6301	8919
414	6316	8903
415	6330	8887
416	6345	8871
417	6359	8854
418	6374	8838
419	6389	8823
420	6403	8807
421	6419	8792
422	6435	8778
423	6449	8761
424	6464	8745
425	6479	8729
426	6494	8715
427	6509	8699
428	6523	8682
429	6537	8666
430	6551	8649
431	6565	8633
432	6581	8617
433	6595	8601
434	6609	8584
435	6624	8569
436	6640	8554
437	6654	8538
438	6669	8522
439	6684	8507
440	6698	8491
441	6713	8475
442	6727	8459
443	6742	8443
444	6756	8427
445	6771	8411
446	6786	8395
447	6801	8380
448	6816	8365
449	6830	8348
450	6846	8333
451	6861	8318
452	6875	8302
453	6891	8287
454	6907	8273
455	6922	8257
456	6937	8242
457	6951	8227
458	6966	8211
459	6982	8197
460	6997	8181
461	7013	8166
462	7029	8153
463	7045	8138
464	7060	8123
465	7075	8108
466	7090	8092
467	7104	8076
468	7119	8060
469	7135	8045
470	7150	8030
471	7166	8016
472	7181	8000
473	7195	7984
474	7210	7969
475	7224	7953
476	7239	7937
477	7254	7922
478	7268	7906
479	7283	7890
480	7299	7876
481	7314	7860
482	7329	7845
483	7343	7829
484	7358	7813
485	7372	7796
486	7386	7780
487	7401	7765
488	7416	7750
489	7432	7735
490	7446	7719
491	7462	7705
492	7477	7689
493	7492	7674
494	7507	7659
495	7521	7642
496	7536	7627
497	7550	7611
498	7564	7594
499	7578	7578
500	7593	7563
501	7607	7547
502	7622	7531
503	7637	7516
504	7651	7500
505	7666	7484
506	7681	7469
507	7695	7453
508	7710	7438
509	7725	7422
510	7739	7406
511	7754	7390
512	7768	7375
513	7783	7359
514	7798	7344
515	7813	7329
516	7828	7313
517	7843	7298
518	7859	7283
519	7875	7269
520	7890	7254
521	7905	7239
522	7920	7223
523	7934	7207
524	7949	7192
525	7964	7177
526	7979	7162
527	7995	7147
528	8009	7131
529	8024	7116
530	8039	7100
531	8054	7085
532	8068	7069
533	8083	7053
534	8097	7038
535	8112	7022
536	8126	7006
537	8141	6991
538	8156	6976
539	8171	6961
540	8186	6945
541	8200	6929
542	8215	6914
543	8230	6898
544	8244	6883
545	8259	6867
546	8273	6852
547	8288	6836
548	8302	6820
549	8317	6805
550	8331	6789
551	8346	6773
552	8360	6757
553	8375	6742
554	8390	6727
555	8404	6711
556	8419	6696
557	8435	6681
558	8450	6666
559	8464	6650
560	8479	6635
561	8494	6620
562	8509	6604
563	8523	6589
564	8538	6573
565	8552	6558
566	8567	6542
567	8581	6526
568	8596	6511
569	8610	6495
570	8625	6480
571	8640	6465
572	8655	6450
573	8670	6434
574	8685	6419
575	8699	6404
576	8714	6388
577	8729	6373
578	8743	6357
579	8758	6342
580	8773	6327
581	8788	6312
582	8803	6296
583	8818	6281
584	8833	6266
585	8848	6251
586	8862	6235
587	8878	6220
588	8892	6205
589	8907	6189
590	8921	6174
591	8936	6158
592	8951	6143
593	8966	6128
594	8981	6113
595	8995	6097
596	9010	6082
597	9025	6067
598	9042	6053
599	9057	6038
600	9072	6023
601	9086	6007
602	9101	5992
603	9115	5976
604	9131	5961
605	9147	5947
606	9162	5932
607	9178	5917
608	9194	5903
609	9209	5888
610	9224	5873
611	9239	5857
612	9254	5842
613	9269	5827
614	9284	5812
615	9300	5797
616	9315	5782
617	9329	5766
618	9344	5751
619	9359	5736
620	9373	5720
621	9387	5704
622	9402	5689
623	9416	5674
624	9432	5659
625	9447	5644
626	9463	5629
627	9477	5614
628	9491	5598
629	9506	5583
630	9521	5568
631	9536	5552
632	9551	5537
633	9565	5522
634	9579	5506
635	9594	5491
636	9609	5476
637	9624	5460
638	9639	5445
639	9654	5430
640	9669	5415
641	9684	5400
642	9698	5384
643	9713	5369
644	9729	5354
645	9744	5339
646	9759	5324
647	9774	5309
648	9789	5294
649	9804	5279
650	9818	5263
651	9833	5248
652	9848	5233
653	9864	5218
654	9878	5203
655	9893	5188
656	9908	5173
657	9923	5157
658	9938	5142
659	9954	5127
660	9969	5113
661	9985	5098
662	9999	5082
663	10014	5067
664	10028	5051
665	10044	5037
666	10058	5021
